metric,score,evaluation_model
Contextual Precision,0.642857143,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.625,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.5,Llama-3 70B
Contextual Precision,0.333333333,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.25,Llama-3 70B
Contextual Precision,0.5,Llama-3 70B
Contextual Precision,0.25,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,0.333333333,Llama-3 70B
Contextual Precision,0.333333333,Llama-3 70B
Contextual Precision,0.2,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.75,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.775,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.642857143,Llama-3 70B
Contextual Precision,0.325,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.785364635,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.488095238,Llama-3 70B
Contextual Precision,0.6,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.325,Llama-3 70B
Contextual Precision,0.25,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.666666667,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.333333333,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.333333333,Llama-3 70B
Contextual Precision,0.333333333,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,0.083333333,Llama-3 70B
Contextual Precision,0.662249479,Llama-3 70B
Contextual Precision,0.266666667,Llama-3 70B
Contextual Precision,0.5,Llama-3 70B
Contextual Precision,0.118589744,Llama-3 70B
Contextual Precision,0.333333333,Llama-3 70B
Contextual Precision,0.103606238,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.847473371,Llama-3 70B
Contextual Precision,0.25,Llama-3 70B
Contextual Precision,0.333333333,Llama-3 70B
Contextual Precision,0.375,Llama-3 70B
Contextual Precision,0.642857143,Llama-3 70B
Contextual Precision,0.333333333,Llama-3 70B
Contextual Precision,0.166666667,Llama-3 70B
Contextual Precision,0.2,Llama-3 70B
Contextual Precision,0.166666667,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.25,Llama-3 70B
Contextual Precision,0.625,Llama-3 70B
Contextual Precision,0.525,Llama-3 70B
Contextual Precision,0.75,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.333333333,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,0.25,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.162337662,Llama-3 70B
Contextual Precision,0.325,Llama-3 70B
Contextual Precision,0,Llama-3 70B
Contextual Precision,1,Llama-3 70B
Contextual Precision,0.226190476,Llama-3 70B
